CFSAUID,DGUID,PRUID,PRNAME,LANDAREA,npop_count
M4C,2021A0011M4C,35,Ontario,5.0113,
M4E,2021A0011M4E,35,Ontario,3.769,
M4G,2021A0011M4G,35,Ontario,7.1324,
M4H,2021A0011M4H,35,Ontario,1.0874,
M4J,2021A0011M4J,35,Ontario,5.325,
M4K,2021A0011M4K,35,Ontario,4.3905,
M4L,2021A0011M4L,35,Ontario,4.3573,
M4M,2021A0011M4M,35,Ontario,9.1644,1.0
M4N,2021A0011M4N,35,Ontario,4.8658,
M4P,2021A0011M4P,35,Ontario,1.441,1.0
M4R,2021A0011M4R,35,Ontario,1.8541,
M4S,2021A0011M4S,35,Ontario,3.079,
M4T,2021A0011M4T,35,Ontario,1.6713,
M4V,2021A0011M4V,35,Ontario,2.7339,1.0
M4W,2021A0011M4W,35,Ontario,4.4645,
M4X,2021A0011M4X,35,Ontario,1.1465,
M4Y,2021A0011M4Y,35,Ontario,1.0366,
M5A,2021A0011M5A,35,Ontario,3.7157,1.0
M5B,2021A0011M5B,35,Ontario,0.5576,
M5C,2021A0011M5C,35,Ontario,0.2219,1.0
M5E,2021A0011M5E,35,Ontario,0.4951,1.0
M5G,2021A0011M5G,35,Ontario,0.7095,2.0
M5H,2021A0011M5H,35,Ontario,0.4726,1.0
M5J,2021A0011M5J,35,Ontario,4.1369,2.0
M5M,2021A0011M5M,35,Ontario,5.1585,
M5N,2021A0011M5N,35,Ontario,2.754,
M5P,2021A0011M5P,35,Ontario,3.3673,
M5R,2021A0011M5R,35,Ontario,2.8276,
M5S,2021A0011M5S,35,Ontario,1.8915,1.0
M5T,2021A0011M5T,35,Ontario,1.4718,
M5V,2021A0011M5V,35,Ontario,3.8341,5.0
M6A,2021A0011M6A,35,Ontario,5.5599,1.0
M6B,2021A0011M6B,35,Ontario,5.3266,
M6C,2021A0011M6C,35,Ontario,2.9792,
M6E,2021A0011M6E,35,Ontario,5.0027,
M6G,2021A0011M6G,35,Ontario,3.8615,
M6H,2021A0011M6H,35,Ontario,4.6523,
M6J,2021A0011M6J,35,Ontario,2.9426,
M6K,2021A0011M6K,35,Ontario,2.7728,3.0
M6L,2021A0011M6L,35,Ontario,4.7863,
M6M,2021A0011M6M,35,Ontario,8.096,
M6N,2021A0011M6N,35,Ontario,8.3243,
M6P,2021A0011M6P,35,Ontario,4.1581,1.0
M6R,2021A0011M6R,35,Ontario,2.3243,
M6S,2021A0011M6S,35,Ontario,8.01,
M8V,2021A0011M8V,35,Ontario,7.0416,1.0
M8W,2021A0011M8W,35,Ontario,6.9498,1.0
M8X,2021A0011M8X,35,Ontario,2.8732,
M8Y,2021A0011M8Y,35,Ontario,4.8899,
M8Z,2021A0011M8Z,35,Ontario,8.7727,
M9A,2021A0011M9A,35,Ontario,10.0741,
M9B,2021A0011M9B,35,Ontario,13.3122,
M9C,2021A0011M9C,35,Ontario,14.1886,1.0
M9L,2021A0011M9L,35,Ontario,7.9409,
M9M,2021A0011M9M,35,Ontario,6.3964,
M9N,2021A0011M9N,35,Ontario,5.1476,
M9P,2021A0011M9P,35,Ontario,6.7153,1.0
M9R,2021A0011M9R,35,Ontario,6.5681,
M9V,2021A0011M9V,35,Ontario,15.5433,1.0
M9W,2021A0011M9W,35,Ontario,27.3161,
N0A,2021A0011N0A,35,Ontario,1035.2298,
N0B,2021A0011N0B,35,Ontario,2106.5526,
N0C,2021A0011N0C,35,Ontario,1296.4427,
N0E,2021A0011N0E,35,Ontario,1365.0123,
N0G,2021A0011N0G,35,Ontario,5612.6402,
N0H,2021A0011N0H,35,Ontario,3239.6509,
N0J,2021A0011N0J,35,Ontario,1494.4442,
N0K,2021A0011N0K,35,Ontario,1499.13,
N0L,2021A0011N0L,35,Ontario,2069.842,
N0M,2021A0011N0M,35,Ontario,3593.2568,
N0N,2021A0011N0N,35,Ontario,1576.4634,
N0P,2021A0011N0P,35,Ontario,2849.2033,
N0R,2021A0011N0R,35,Ontario,784.0921,
N1A,2021A0011N1A,35,Ontario,225.1076,
N1C,2021A0011N1C,35,Ontario,4.7041,
N1E,2021A0011N1E,35,Ontario,39.2619,
N1G,2021A0011N1G,35,Ontario,22.8294,
N1H,2021A0011N1H,35,Ontario,131.6029,
N1K,2021A0011N1K,35,Ontario,4.1746,
N1L,2021A0011N1L,35,Ontario,12.271,
N1M,2021A0011N1M,35,Ontario,88.7683,
N1P,2021A0011N1P,35,Ontario,2.2739,
N1R,2021A0011N1R,35,Ontario,182.1589,
N1S,2021A0011N1S,35,Ontario,9.8775,
N1T,2021A0011N1T,35,Ontario,15.225,
N2A,2021A0011N2A,35,Ontario,13.6052,
N2B,2021A0011N2B,35,Ontario,7.6676,
N2C,2021A0011N2C,35,Ontario,13.2857,
